ime_jedi;opis_jedi;cena
Pica Margerita;Klasična pizza s paradižnikovo omako, mocarelo in baziliko;6
Rižota s škampi;Rižota pripravljena v bogati kremni omaki s svežimi škampi;12
Grilani losos;Losos pečen na žaru, postrežen s sezonsko zelenjavo;15
File postrvi;File postrvi z limonino omako in krompirjevim pirejem;18
T-bone steak;Velikanski T-bone steak s pečenim krompirjem in zelenjavo na žaru;25
Ratatouille;Klasična francoska jed z bučkami, jajčevci, paradižnikom in papriko;10
Goveji burger;Sočen goveji burger s sirom, karameliziranimi čebulicami in hrenovo omako;8
Sushi komplet;Raznolik izbor svežega sušija in sashimija;20
Pancetta solata;Sveža solata s hrustljavo pancetto, paradižnikom in pinjolami;7
Ribeye steak;Mehak ribeye steak z zeliščnim maslom in pečeno bučko;22
Tiramisu;Klasičen italijanski desert s kavo in mascarpone sirom;5
Morski sadeži v kremni omaki;Mešanica morskih sadežev v kremni omaki, postrežena s testeninami;16
Piščančji curry;Piščančji curry z jasminovim rižem in popečenim naan kruhom;14
Goveji ramstek;Sočen goveji ramstek s pečeno zelenjavo in rdečim vinom;19
Mehiške fajitas;Mehiške fajitas s pikantno govedino, zelenjavo in guacamole omako;11
Gobova juha;Kremna gobova juha s hrustljavimi kruhki;6
Svinjska pečenka;Mehka svinjska pečenka s praženim krompirjem in rukolo;17
Lososova solata;Solata s svežim lososom, avokadom, paradižnikom in prelivom iz limone;9
Pica s pršutom;Pizza s pršutom, rukolo in parmezanom;13
